existing_identifier,source_platform,display_name,proposed_canonical_identifier,classification,ranking_movement,seeded_in_migration_2
dumbbell_floor_press,ios,Dumbbell Floor Press,dumbbell-floor-press,duplicate,,no
dumbbell_fly,ios,Dumbbell Fly,dumbbell-fly,duplicate,,no
dumbbell_front_raise,ios,Dumbbell Front Raise,dumbbell-front-raise,duplicate,,no
dumbbell_front_squat,ios,Dumbbell Front Squat,dumbbell-front-squat,duplicate,,no
dumbbell_glute_bridge,ios,Dumbbell Glute Bridge,dumbbell-glute-bridge,alias,,no
dumbbell_goblet_squat,ios,Dumbbell Goblet Squat,dumbbell-goblet-squat,alias,,no
dumbbell_hammer_curl,ios,Dumbbell Hammer Curl,dumbbell-hammer-curl,alias,,no
dumbbell_high_row,ios,Dumbbell High Row,dumbbell-high-row,duplicate,,no
dumbbell_hip_thrust,ios,Dumbbell Hip Thrust,dumbbell-hip-thrust,alias,,no
dumbbell_incline_fly,ios,Incline Dumbbell Fly,incline-dumbbell-fly,duplicate,,no
dumbbell_lean_away_lateral_raise,ios,Lean-Away Dumbbell Lateral Raise,lean-away-dumbbell-lateral-raise,alias,,no
dumbbell_neutral_grip_press,ios,Neutral-Grip Dumbbell Press,neutral-grip-dumbbell-press,duplicate,,no
dumbbell_preacher_curl,ios,Dumbbell Preacher Curl,dumbbell-preacher-curl,alias,,no
dumbbell_pullover,ios,Dumbbell Pullover,dumbbell-pullover,duplicate,,no
dumbbell_rear_delt_fly,ios,Dumbbell Rear Delt Fly,dumbbell-rear-delt-fly,alias,,no
dumbbell_rear_delt_row,ios,Dumbbell Rear Delt Row,dumbbell-rear-delt-row,alias,,no
dumbbell_renegade_row,ios,Renegade Row,renegade-row,duplicate,,no
dumbbell_reverse_lunge,ios,Dumbbell Reverse Lunge,dumbbell-reverse-lunge,duplicate,,no
dumbbell_romanian_deadlift,ios,Dumbbell Romanian Deadlift,dumbbell-romanian-deadlift,duplicate,,no
dumbbell_russian_twist,ios,Dumbbell Russian Twist,dumbbell-russian-twist,alias,,no
dumbbell_seal_row,ios,Dumbbell Seal Row,dumbbell-seal-row,duplicate,,no
dumbbell_seated_lateral_raise,ios,Seated Dumbbell Lateral Raise,seated-dumbbell-lateral-raise,alias,,no
dumbbell_shrug,ios,Dumbbell Shrug,dumbbell-shrug,duplicate,,no
dumbbell_side_bend,ios,Dumbbell Side Bend,dumbbell-side-bend,alias,,no
dumbbell_single_arm_bench_press,ios,Single-Arm Dumbbell Bench Press,single-arm-dumbbell-bench-press,duplicate,,no
dumbbell_single_arm_overhead_extension,ios,Single-Arm Overhead Dumbbell Extension,single-arm-overhead-dumbbell-extension,alias,,no
dumbbell_single_leg_romanian_deadlift,ios,Single-Leg Dumbbell Romanian Deadlift,single-leg-dumbbell-romanian-deadlift,duplicate,,no
dumbbell_skull_crusher,ios,Dumbbell Skull Crusher,dumbbell-skull-crusher,duplicate,,no
dumbbell_spider_curl,ios,Dumbbell Spider Curl,dumbbell-spider-curl,alias,,no
dumbbell_squeeze_press,ios,Dumbbell Squeeze Press,dumbbell-squeeze-press,duplicate,,no
dumbbell_step_up,ios,Dumbbell Step-Up,dumbbell-step-up,duplicate,,no
dumbbell_stiff_leg_deadlift,ios,Dumbbell Stiff-Leg Deadlift,dumbbell-stiff-leg-deadlift,duplicate,,no
dumbbell_sumo_squat,ios,Dumbbell Sumo Squat,dumbbell-sumo-squat,alias,,no
dumbbell_tate_press,ios,Dumbbell Tate Press,dumbbell-tate-press,duplicate,,no
dumbbell_thruster,ios,Dumbbell Thruster,dumbbell-thruster,duplicate,,no
dumbbell_upright_row,ios,Dumbbell Upright Row,dumbbell-upright-row,duplicate,,no
dumbbell_walking_lunge,ios,Dumbbell Walking Lunge,dumbbell-walking-lunge,duplicate,,no
dumbbell_zottman_curl,ios,Zottman Curl,zottman-curl,duplicate,,no
ez_bar_curl,ios,EZ-Bar Curl,ez-bar-curl,alias,,no
farmers_carry,ios,Farmer's Carry,farmer-s-carry,alias,,no
hack_squat,ios,Hack Squat,hack-squat,duplicate,,yes
hanging_leg_raise,ios,Hanging Leg Raise,hanging-leg-raise,alias,,no
hip_thrust,ios,Hip Thrust,hip-thrust,alias,,yes
incline_db_curl,ios,Incline DB Curl,incline-db-curl,alias,,no
incline_db_press,ios,Incline DB Press,incline-db-press,alias,,no
lat_pulldown,ios,Lat Pulldown,lat-pulldown,duplicate,,yes
leg_extension,ios,Leg Extension,leg-extension,duplicate,,yes
leg_press,ios,Leg Press,leg-press,duplicate,,yes
lying_leg_curl,ios,Lying Leg Curl,lying-leg-curl,duplicate,,yes
machine_abdominal_crunch,ios,Abdominal Crunch Machine,abdominal-crunch-machine,duplicate,,no
machine_assisted_dip,ios,Assisted Dip Machine,assisted-dip-machine,duplicate,,no
machine_assisted_pull_up,ios,Assisted Pull-Up Machine,assisted-pull-up-machine,duplicate,,no
machine_back_extension,ios,Back Extension Machine,back-extension-machine,duplicate,,no
machine_belt_squat,ios,Belt Squat Machine,belt-squat-machine,duplicate,,no
machine_chest_press,ios,Machine Chest Press,machine-chest-press,duplicate,,yes
machine_decline_chest_press,ios,Decline Chest Press Machine,decline-chest-press-machine,duplicate,,no
machine_front_lat_pulldown,ios,Front Lat Pulldown Machine,front-lat-pulldown-machine,duplicate,,no
machine_glute_drive,ios,Glute Drive Machine,glute-drive-machine,duplicate,,no
machine_grip,ios,Grip Machine,grip-machine,duplicate,,no
machine_ground_base_rotational_twist,ios,Ground-Base Rotational Twist,ground-base-rotational-twist,duplicate,,no
machine_ground_base_squat,ios,Ground-Base Squat,ground-base-squat,duplicate,,no
machine_high_incline_chest_press,ios,High-Incline Chest Press Machine,high-incline-chest-press-machine,duplicate,,no
machine_high_row,ios,High Row Machine,high-row-machine,duplicate,,no
machine_hip_abductor,ios,Hip Abductor Machine,hip-abductor-machine,alias,,no
machine_hip_adductor,ios,Hip Adductor Machine,hip-adductor-machine,alias,,no
machine_horizontal_leg_press,ios,Horizontal Leg Press,horizontal-leg-press,duplicate,,no
machine_incline_chest_press,ios,Incline Chest Press Machine,incline-chest-press-machine,duplicate,,no
machine_iso_lateral_chest_press,ios,Iso-Lateral Chest Press,iso-lateral-chest-press,duplicate,,no
machine_iso_lateral_leg_curl,ios,Iso-Lateral Leg Curl,iso-lateral-leg-curl,duplicate,,no
machine_iso_lateral_leg_press,ios,Iso-Lateral Leg Press,iso-lateral-leg-press,duplicate,,no
machine_iso_lateral_row,ios,Iso-Lateral Row,iso-lateral-row,alias,,no
machine_iso_lateral_underhand_row,ios,Iso-Lateral Underhand Row,iso-lateral-underhand-row,duplicate,,no
machine_kneeling_leg_curl,ios,Kneeling Leg Curl Machine,kneeling-leg-curl-machine,alias,,no
