existing_identifier,source_platform,display_name,proposed_canonical_identifier,classification,ranking_movement,seeded_in_migration_2
catalog-chest-cable-cable-pullover,web,Cable Pullover,cable-pullover,duplicate,,no
catalog-chest-cable-cable-svend-press,web,Cable Svend Press,cable-svend-press,alias,,no
catalog-chest-cable-high-to-low-cable-fly,web,High-to-Low Cable Fly,high-to-low-cable-fly,duplicate,,no
catalog-chest-cable-low-to-high-cable-fly,web,Low-to-High Cable Fly,low-to-high-cable-fly,duplicate,,no
catalog-chest-cable-lying-cable-fly,web,Lying Cable Fly,lying-cable-fly,alias,,no
catalog-chest-cable-mid-cable-fly,web,Mid Cable Fly,mid-cable-fly,alias,,no
catalog-chest-cable-single-arm-cable-chest-press,web,Single-Arm Cable Chest Press,single-arm-cable-chest-press,duplicate,,no
catalog-chest-cable-single-arm-cable-fly,web,Single-Arm Cable Fly,single-arm-cable-fly,duplicate,,no
catalog-chest-cable-standing-cable-chest-press,web,Standing Cable Chest Press,standing-cable-chest-press,duplicate,,no
catalog-chest-dumbbells-dumbbell-around-the-world,web,Dumbbell Around the World,dumbbell-around-the-world,alias,,no
catalog-chest-dumbbells-dumbbell-decline-press,web,Dumbbell Decline Press,dumbbell-decline-press,alias,,no
catalog-chest-dumbbells-dumbbell-floor-press,web,Dumbbell Floor Press,dumbbell-floor-press,duplicate,,no
catalog-chest-dumbbells-dumbbell-fly,web,Dumbbell Fly,dumbbell-fly,duplicate,,no
catalog-chest-dumbbells-dumbbell-incline-press,web,Dumbbell Incline Press,dumbbell-incline-press,alias,,no
catalog-chest-dumbbells-dumbbell-pullover,web,Dumbbell Pullover,dumbbell-pullover,duplicate,,no
catalog-chest-dumbbells-dumbbell-squeeze-press,web,Dumbbell Squeeze Press,dumbbell-squeeze-press,duplicate,,no
catalog-chest-dumbbells-incline-dumbbell-fly,web,Incline Dumbbell Fly,incline-dumbbell-fly,duplicate,,no
catalog-chest-dumbbells-neutral-grip-dumbbell-press,web,Neutral-Grip Dumbbell Press,neutral-grip-dumbbell-press,duplicate,,no
catalog-chest-dumbbells-single-arm-dumbbell-bench-press,web,Single-Arm Dumbbell Bench Press,single-arm-dumbbell-bench-press,duplicate,,no
catalog-chest-machine-assisted-dip-machine,web,Assisted Dip Machine,assisted-dip-machine,duplicate,,no
catalog-chest-machine-converging-chest-press-machine,web,Converging Chest Press Machine,converging-chest-press-machine,alias,,no
catalog-chest-machine-decline-chest-press-machine,web,Decline Chest Press Machine,decline-chest-press-machine,duplicate,,no
catalog-chest-machine-high-incline-chest-press-machine,web,High-Incline Chest Press Machine,high-incline-chest-press-machine,duplicate,,no
catalog-chest-machine-horizontal-chest-press-machine,web,Horizontal Chest Press Machine,horizontal-chest-press-machine,alias,,no
catalog-chest-machine-incline-chest-press-machine,web,Incline Chest Press Machine,incline-chest-press-machine,duplicate,,no
catalog-chest-machine-iso-lateral-chest-press,web,Iso-Lateral Chest Press,iso-lateral-chest-press,duplicate,,no
catalog-chest-machine-plate-loaded-chest-press,web,Plate-Loaded Chest Press,plate-loaded-chest-press,duplicate,,no
catalog-chest-machine-plate-loaded-decline-press,web,Plate-Loaded Decline Press,plate-loaded-decline-press,alias,,no
catalog-chest-machine-plate-loaded-incline-press,web,Plate-Loaded Incline Press,plate-loaded-incline-press,alias,,no
catalog-chest-machine-plate-loaded-pec-fly,web,Plate-Loaded Pec Fly,plate-loaded-pec-fly,duplicate,,no
catalog-chest-machine-wide-grip-chest-press-machine,web,Wide-Grip Chest Press Machine,wide-grip-chest-press-machine,duplicate,,no
catalog-core-cable-cable-anti-rotation-hold,web,Cable Anti-Rotation Hold,cable-anti-rotation-hold,alias,,no
catalog-core-cable-cable-lift,web,Cable Lift,cable-lift,alias,,no
catalog-core-cable-cable-pallof-press,web,Cable Pallof Press,cable-pallof-press,alias,,no
catalog-core-cable-cable-reverse-crunch,web,Cable Reverse Crunch,cable-reverse-crunch,alias,,no
catalog-core-cable-cable-rotation,web,Cable Rotation,cable-rotation,alias,,no
catalog-core-cable-cable-side-bend,web,Cable Side Bend,cable-side-bend,alias,,no
catalog-core-cable-cable-wood-chop,web,Cable Wood Chop,cable-wood-chop,duplicate,,no
catalog-core-cable-half-kneeling-pallof-press,web,Half-Kneeling Pallof Press,half-kneeling-pallof-press,alias,,no
catalog-core-cable-kneeling-rope-crunch,web,Kneeling Rope Crunch,kneeling-rope-crunch,alias,,no
catalog-core-cable-standing-cable-crunch,web,Standing Cable Crunch,standing-cable-crunch,alias,,no
catalog-core-machine-ab-coaster,web,Ab Coaster,ab-coaster,alias,,no
catalog-core-machine-abdominal-crunch-machine,web,Abdominal Crunch Machine,abdominal-crunch-machine,duplicate,,no
catalog-core-machine-back-extension-machine,web,Back Extension Machine,back-extension-machine,duplicate,,no
catalog-core-machine-captain-s-chair-leg-raise,web,Captain's Chair Leg Raise,captain-s-chair-leg-raise,alias,,no
catalog-core-machine-combo-twist-machine,web,Combo Twist Machine,combo-twist-machine,alias,,no
catalog-core-machine-decline-ab-crunch-machine,web,Decline Ab Crunch Machine,decline-ab-crunch-machine,alias,,no
catalog-core-machine-ground-base-rotational-twist,web,Ground-Base Rotational Twist,ground-base-rotational-twist,duplicate,,no
catalog-core-machine-hanging-knee-raise-station,web,Hanging Knee Raise Station,hanging-knee-raise-station,alias,,no
catalog-core-machine-rotary-torso-machine,web,Rotary Torso Machine,rotary-torso-machine,duplicate,,no
catalog-core-machine-torso-rotation-machine,web,Torso Rotation Machine,torso-rotation-machine,alias,,no
catalog-full-body-bodyweight-bear-crawl,web,Bear Crawl,bear-crawl,alias,,no
catalog-full-body-bodyweight-burpee,web,Burpee,burpee,alias,,no
catalog-full-body-bodyweight-chin-up,web,Chin-Up,chin-up,alias,,no
catalog-full-body-bodyweight-inchworm,web,Inchworm,inchworm,alias,,no
catalog-full-body-bodyweight-jump-squat,web,Jump Squat,jump-squat,alias,,no
catalog-full-body-bodyweight-mountain-climber,web,Mountain Climber,mountain-climber,alias,,no
catalog-full-body-bodyweight-muscle-up,web,Muscle-Up,muscle-up,alias,,no
catalog-full-body-bodyweight-pike-push-up,web,Pike Push-Up,pike-push-up,alias,,no
catalog-full-body-bodyweight-push-up,web,Push-Up,push-up,alias,,no
catalog-full-body-bodyweight-walking-lunge,web,Walking Lunge,walking-lunge,alias,,no
catalog-full-body-dumbbells-dumbbell-burpee,web,Dumbbell Burpee,dumbbell-burpee,alias,,no
catalog-full-body-dumbbells-dumbbell-clean,web,Dumbbell Clean,dumbbell-clean,alias,,no
catalog-full-body-dumbbells-dumbbell-clean-and-press,web,Dumbbell Clean and Press,dumbbell-clean-and-press,alias,,no
catalog-full-body-dumbbells-dumbbell-devil-press,web,Dumbbell Devil Press,dumbbell-devil-press,alias,,no
catalog-full-body-dumbbells-dumbbell-farmer-carry,web,Dumbbell Farmer Carry,dumbbell-farmer-carry,alias,,no
catalog-full-body-dumbbells-dumbbell-man-maker,web,Dumbbell Man Maker,dumbbell-man-maker,alias,,no
catalog-full-body-dumbbells-dumbbell-snatch,web,Dumbbell Snatch,dumbbell-snatch,alias,,no
catalog-full-body-dumbbells-dumbbell-suitcase-carry,web,Dumbbell Suitcase Carry,dumbbell-suitcase-carry,alias,,no
catalog-full-body-dumbbells-dumbbell-thruster,web,Dumbbell Thruster,dumbbell-thruster,duplicate,,no
catalog-full-body-dumbbells-dumbbell-turkish-get-up,web,Dumbbell Turkish Get-Up,dumbbell-turkish-get-up,alias,,no
catalog-glutes-machine-cable-glute-kickback,web,Cable Glute Kickback,cable-glute-kickback,alias,,no
catalog-glutes-machine-cable-hip-abduction,web,Cable Hip Abduction,cable-hip-abduction,duplicate,,no
catalog-glutes-machine-cable-hip-adduction,web,Cable Hip Adduction,cable-hip-adduction,duplicate,,no
catalog-glutes-machine-glute-drive-machine,web,Glute Drive Machine,glute-drive-machine,duplicate,,no
catalog-glutes-machine-hip-abduction-machine,web,Hip Abduction Machine,hip-abduction-machine,alias,,no
catalog-glutes-machine-hip-adduction-machine,web,Hip Adduction Machine,hip-adduction-machine,alias,,no
catalog-glutes-machine-hip-thrust-machine,web,Hip Thrust Machine,hip-thrust-machine,alias,,no
catalog-glutes-machine-kneeling-glute-kickback-machine,web,Kneeling Glute Kickback Machine,kneeling-glute-kickback-machine,alias,,no
catalog-glutes-machine-multi-hip-machine,web,Multi-Hip Machine,multi-hip-machine,alias,,no
catalog-glutes-machine-reverse-hyper-machine,web,Reverse Hyper Machine,reverse-hyper-machine,alias,,no
catalog-glutes-machine-smith-machine-hip-thrust,web,Smith Machine Hip Thrust,smith-machine-hip-thrust,duplicate,,no
catalog-glutes-machine-standing-glute-kickback-machine,web,Standing Glute Kickback Machine,standing-glute-kickback-machine,duplicate,,no
catalog-hamstrings-dumbbells-dumbbell-good-morning,web,Dumbbell Good Morning,dumbbell-good-morning,alias,,no
catalog-hamstrings-dumbbells-dumbbell-hamstring-curl,web,Dumbbell Hamstring Curl,dumbbell-hamstring-curl,alias,,no
catalog-hamstrings-dumbbells-dumbbell-nordic-curl,web,Dumbbell Nordic Curl,dumbbell-nordic-curl,alias,,no
catalog-hamstrings-dumbbells-dumbbell-romanian-deadlift,web,Dumbbell Romanian Deadlift,dumbbell-romanian-deadlift,duplicate,,no
catalog-hamstrings-dumbbells-dumbbell-stiff-leg-deadlift,web,Dumbbell Stiff-Leg Deadlift,dumbbell-stiff-leg-deadlift,duplicate,,no
catalog-hamstrings-dumbbells-dumbbell-sumo-deadlift,web,Dumbbell Sumo Deadlift,dumbbell-sumo-deadlift,alias,,no
catalog-hamstrings-dumbbells-dumbbell-swing,web,Dumbbell Swing,dumbbell-swing,alias,,no
catalog-hamstrings-dumbbells-single-leg-dumbbell-romanian-deadlift,web,Single-Leg Dumbbell Romanian Deadlift,single-leg-dumbbell-romanian-deadlift,duplicate,,no
catalog-hamstrings-machine-back-extension-machine,web,Back Extension Machine,back-extension-machine,duplicate,,no
catalog-hamstrings-machine-cable-pull-through,web,Cable Pull-Through,cable-pull-through,duplicate,,no
catalog-hamstrings-machine-glute-ham-raise,web,Glute-Ham Raise,glute-ham-raise,alias,,no
catalog-hamstrings-machine-iso-lateral-leg-curl,web,Iso-Lateral Leg Curl,iso-lateral-leg-curl,duplicate,,no
catalog-hamstrings-machine-nordic-curl-machine,web,Nordic Curl Machine,nordic-curl-machine,duplicate,,no
catalog-hamstrings-machine-reverse-hyperextension,web,Reverse Hyperextension,reverse-hyperextension,alias,,no
catalog-hamstrings-machine-seated-leg-curl,web,Seated Leg Curl,seated-leg-curl,duplicate,,no
catalog-hamstrings-machine-single-leg-curl,web,Single-Leg Curl,single-leg-curl,alias,,no
catalog-hamstrings-machine-smith-machine-romanian-deadlift,web,Smith Machine Romanian Deadlift,smith-machine-romanian-deadlift,duplicate,,no
catalog-hamstrings-machine-standing-leg-curl,web,Standing Leg Curl,standing-leg-curl,alias,,no
catalog-quads-dumbbells-bulgarian-split-squat,web,Bulgarian Split Squat,bulgarian-split-squat,duplicate,,no
catalog-quads-dumbbells-dumbbell-cyclist-squat,web,Dumbbell Cyclist Squat,dumbbell-cyclist-squat,alias,,no
catalog-quads-dumbbells-dumbbell-front-squat,web,Dumbbell Front Squat,dumbbell-front-squat,duplicate,,no
catalog-quads-dumbbells-dumbbell-lateral-lunge,web,Dumbbell Lateral Lunge,dumbbell-lateral-lunge,alias,,no
catalog-quads-dumbbells-dumbbell-reverse-lunge,web,Dumbbell Reverse Lunge,dumbbell-reverse-lunge,duplicate,,no
catalog-quads-dumbbells-dumbbell-sissy-squat,web,Dumbbell Sissy Squat,dumbbell-sissy-squat,alias,,no
catalog-quads-dumbbells-dumbbell-split-squat,web,Dumbbell Split Squat,dumbbell-split-squat,alias,,no
catalog-quads-dumbbells-dumbbell-step-up,web,Dumbbell Step-Up,dumbbell-step-up,duplicate,,no
catalog-quads-dumbbells-dumbbell-walking-lunge,web,Dumbbell Walking Lunge,dumbbell-walking-lunge,duplicate,,no
catalog-quads-dumbbells-goblet-squat,web,Goblet Squat,goblet-squat,alias,,no
catalog-quads-machine-45-degree-linear-leg-press,web,45-Degree Linear Leg Press,45-degree-linear-leg-press,duplicate,,no
catalog-quads-machine-belt-squat-machine,web,Belt Squat Machine,belt-squat-machine,duplicate,,no
catalog-quads-machine-ground-base-squat,web,Ground-Base Squat,ground-base-squat,duplicate,,no
catalog-quads-machine-horizontal-leg-press,web,Horizontal Leg Press,horizontal-leg-press,duplicate,,no
catalog-quads-machine-iso-lateral-leg-press,web,Iso-Lateral Leg Press,iso-lateral-leg-press,duplicate,,no
catalog-quads-machine-leverage-squat-machine,web,Leverage Squat Machine,leverage-squat-machine,alias,,no
catalog-quads-machine-pendulum-squat,web,Pendulum Squat,pendulum-squat,duplicate,,no
catalog-quads-machine-power-squat-machine,web,Power Squat Machine,power-squat-machine,alias,,no
catalog-quads-machine-reverse-hack-squat,web,Reverse Hack Squat,reverse-hack-squat,alias,,no
catalog-quads-machine-single-leg-press,web,Single-Leg Press,single-leg-press,alias,,no
catalog-quads-machine-sissy-squat-machine,web,Sissy Squat Machine,sissy-squat-machine,duplicate,,no
catalog-quads-machine-smith-machine-lunge,web,Smith Machine Lunge,smith-machine-lunge,alias,,no
catalog-quads-machine-smith-machine-split-squat,web,Smith Machine Split Squat,smith-machine-split-squat,duplicate,,no
catalog-quads-machine-smith-machine-squat,web,Smith Machine Squat,smith-machine-squat,alias,,no
catalog-quads-machine-v-squat,web,V-Squat,v-squat,alias,,no
catalog-shoulders-cable-behind-the-back-cable-lateral-raise,web,Behind-the-Back Cable Lateral Raise,behind-the-back-cable-lateral-raise,alias,,no
catalog-shoulders-cable-cable-cuban-press,web,Cable Cuban Press,cable-cuban-press,alias,,no
catalog-shoulders-cable-cable-external-rotation,web,Cable External Rotation,cable-external-rotation,duplicate,,no
catalog-shoulders-cable-cable-front-raise,web,Cable Front Raise,cable-front-raise,duplicate,,no
catalog-shoulders-cable-cable-internal-rotation,web,Cable Internal Rotation,cable-internal-rotation,duplicate,,no
catalog-shoulders-cable-cable-rear-delt-fly,web,Cable Rear-Delt Fly,cable-rear-delt-fly,alias,,no
catalog-shoulders-cable-cable-shoulder-press,web,Cable Shoulder Press,cable-shoulder-press,duplicate,,no
catalog-shoulders-cable-cable-upright-row,web,Cable Upright Row,cable-upright-row,duplicate,,no
catalog-shoulders-cable-cable-y-raise,web,Cable Y-Raise,cable-y-raise,alias,,no
catalog-shoulders-cable-single-arm-cable-lateral-raise,web,Single-Arm Cable Lateral Raise,single-arm-cable-lateral-raise,alias,,no
catalog-shoulders-dumbbells-arnold-press,web,Arnold Press,arnold-press,duplicate,,no
catalog-shoulders-dumbbells-dumbbell-cuban-press,web,Dumbbell Cuban Press,dumbbell-cuban-press,duplicate,,no
catalog-shoulders-dumbbells-dumbbell-front-raise,web,Dumbbell Front Raise,dumbbell-front-raise,duplicate,,no
catalog-shoulders-dumbbells-dumbbell-rear-delt-fly,web,Dumbbell Rear-Delt Fly,dumbbell-rear-delt-fly,alias,,no
catalog-shoulders-dumbbells-dumbbell-scaption,web,Dumbbell Scaption,dumbbell-scaption,alias,,no
catalog-shoulders-dumbbells-dumbbell-upright-row,web,Dumbbell Upright Row,dumbbell-upright-row,duplicate,,no
catalog-shoulders-dumbbells-dumbbell-y-raise,web,Dumbbell Y-Raise,dumbbell-y-raise,alias,,no
catalog-shoulders-dumbbells-incline-rear-delt-fly,web,Incline Rear-Delt Fly,incline-rear-delt-fly,alias,,no
catalog-shoulders-dumbbells-seated-dumbbell-shoulder-press,web,Seated Dumbbell Shoulder Press,seated-dumbbell-shoulder-press,alias,,no
catalog-shoulders-dumbbells-single-arm-dumbbell-press,web,Single-Arm Dumbbell Press,single-arm-dumbbell-press,alias,,no
catalog-shoulders-machine-iso-lateral-shoulder-press,web,Iso-Lateral Shoulder Press,iso-lateral-shoulder-press,alias,,no
catalog-shoulders-machine-lateral-raise-machine,web,Lateral Raise Machine,lateral-raise-machine,duplicate,,no
catalog-shoulders-machine-machine-front-raise,web,Machine Front Raise,machine-front-raise,alias,,no
catalog-shoulders-machine-machine-upright-row,web,Machine Upright Row,machine-upright-row,alias,,no
catalog-shoulders-machine-plate-loaded-shoulder-press,web,Plate-Loaded Shoulder Press,plate-loaded-shoulder-press,alias,,no
catalog-shoulders-machine-rear-deltoid-fly-machine,web,Rear Deltoid Fly Machine,rear-deltoid-fly-machine,alias,,no
catalog-shoulders-machine-reverse-pec-deck,web,Reverse Pec Deck,reverse-pec-deck,duplicate,,no
catalog-shoulders-machine-rotator-cuff-machine,web,Rotator Cuff Machine,rotator-cuff-machine,alias,,no
catalog-shoulders-machine-shoulder-press-machine,web,Shoulder Press Machine,shoulder-press-machine,alias,,no
catalog-shoulders-machine-standing-lateral-raise-machine,web,Standing Lateral Raise Machine,standing-lateral-raise-machine,alias,,no
db-bench,web,Dumbbell Bench Press,dumbbell-bench-press,alias,,yes
db-curl,web,Dumbbell Curl,dumbbell-curl,alias,,yes
deadlift,web,Conventional Deadlift,conventional-deadlift,duplicate,deadlift,yes
dip,web,Dip,dip,exact,,yes
face-pull,web,Cable Face Pull,cable-face-pull,duplicate,,yes
front-squat,web,Front Squat,front-squat,exact,,yes
group-general-strength,web,group-powerlifting,group-powerlifting,alias,,no
hack-squat,web,Hack Squat,hack-squat,exact,,yes
hip-thrust,web,Barbell Hip Thrust,barbell-hip-thrust,alias,,yes
incline-bench,web,Incline Bench Press,incline-barbell-bench-press,alias,,yes
lat-pulldown,web,Lat Pulldown,lat-pulldown,exact,,yes
lateral-raise,web,Dumbbell Lateral Raise,dumbbell-lateral-raise,alias,,yes
leg-curl,web,Lying Leg Curl,lying-leg-curl,duplicate,,yes
leg-extension,web,Leg Extension,leg-extension,exact,,yes
leg-press,web,Leg Press,leg-press,exact,,yes
machine-chest,web,Machine Chest Press,machine-chest-press,duplicate,,yes
ohp,web,Overhead Press,standing-barbell-overhead-press,alias,overhead_press,yes
p-bench-2,web,session-push-2,session-push-2,alias,,no
p-pull-2,web,session-pull-2,session-pull-2,alias,,no
p-squat-2,web,session-legs-2,session-legs-2,alias,,no
pec-deck,web,Pec Deck,pec-deck,exact,,yes
plank,web,Plank,plank,exact,,yes
pull-up,web,Pull-Up,pull-up,exact,,yes
rdl,web,Romanian Deadlift,romanian-deadlift,duplicate,,yes
seated-row,web,Seated Cable Row,seated-cable-row,duplicate,,yes
tricep-pushdown,web,Tricep Pushdown,triceps-pushdown,alias,,yes
